data.id,data.name,data.symbol,data.slug,data.circulating_supply,data.quote.USD.price,data.quote.USD.market_cap
1,Bitcoin,BTC,bitcoin,19996478,"66982,40076",1339412103282
1027,Ethereum,ETH,ethereum,"120692230,1","2008,193425",242373342995
825,Tether USDt,USDT,tether,183633868265,"1,000016928",183636976872
1839,BNB,BNB,bnb,"136358726,8","627,5437673",85571069089
52,XRP,XRP,xrp,61090376977,"1,386115752",84678333806
3408,USDC,USDC,usd-coin,75199237244,"0,9999244027",75193552383
5426,Solana,SOL,solana,"569647768,8","86,00412335",48992056976
1958,TRON,TRX,tron,94740957774,"0,2819498536",26712199178
74,Dogecoin,DOGE,dogecoin,168941443127,"0,09436596996",15942323147
2010,Cardano,ADA,cardano,36078864112,"0,2806313312",10124859665
1831,Bitcoin Cash,BCH,bitcoin-cash,"20001412,5","449,8541253",8997717926
3957,UNUS SED LEO,LEO,unus-sed-leo,"921252076,9","8,994643873",8286334349
32196,Hyperliquid,HYPE,hyperliquid,"258198526,2","30,94113307",7988954958
328,Monero,XMR,monero,"18446744,07","345,8545665",6379890676
1975,Chainlink,LINK,chainlink,"708099970,5","8,990156538",6365929579
37263,Canton,CC,canton-network,37920850024,"0,1660467146",6296632563
29470,Ethena USDe,USDe,ethena-usde,6032324917,"0,9994225255",6028841403
4943,Dai,DAI,multi-collateral-dai,5365382703,"0,9999930512",5365345420
512,Stellar,XLM,stellar,32955618948,"0,1588662291",5235534911
36148,World Liberty Financial USD,USD1,usd1,4705672064,"0,9994912205",4703277914
4642,Hedera,HBAR,hedera,43003421564,"0,09957350835",4282001556
27772,PayPal USD,PYUSD,paypal-usd,4203341569,"0,999785677",4202440696
2,Litecoin,LTC,litecoin,"76902826,98","54,35628385",4180151892
5805,Avalanche,AVAX,avalanche,"431771961,2","9,174027894",3961088016
1437,Zcash,ZEC,zcash,"16558368,92","223,1347441",3694747411
20947,Sui,SUI,sui,3899984688,"0,9140154416",3564646227
5994,Shiba Inu,SHIB,shiba-inu,589243742922027,"0,000005686608853",3350798685
3635,Cronos,CRO,cronos,41068589204,"0,0761599786",3127782875
33251,World Liberty Financial,WLFI,world-liberty-financial-wlfi,27661096825,"0,1106554118",3060850061
11419,Toncoin,TON,toncoin,2452526288,"1,235144509",3029224377
5176,Tether Gold,XAUt,tether-gold,"549548,6417","5339,139684",2934116961
6636,Polkadot,DOT,polkadot-new,1670246386,"1,553511213",2594746490
4705,PAX Gold,PAXG,pax-gold,"473805,587","5406,368942",2561567810
7083,Uniswap,UNI,uniswap,"633875562,7","3,798714805",2407912485
27075,Mantle,MNT,mantle,3252944056,"0,6413190194",2086174892
22974,Bittensor,TAO,bittensor,"10719196,3","181,3541738",1943970990
35491,MemeCore,M,memecore,1273861736,"1,489738482",1897720848
33793,Global Dollar,USDG,global-dollar-usdg,1767447250,"0,9999408512",1767342707
7278,Aave,AAVE,aave,"15330431,47","115,2264078",1766470547
36341,Aster,ASTER,aster,2476232867,"0,7118958235",1762819836
3897,OKB,OKB,okb,21000000,"76,70112577",1610723641
35697,Pi,PI,pi,9412361248,"0,1700316828",1600399622
33038,Sky,SKY,sky,23015087208,"0,06818414149",1569263963
11092,Bitget Token,BGB,bitget-token-new,"699669475,9","2,153594563",1506804379
